"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity"
"BR-BT-01375-0009","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type Prior information notice used only for information – defence directive.","6","Always","NULL","all","ERROR"
"BR-BT-01375-0011","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type .","T01","Always","NULL","all","ERROR"
"BR-BT-01375-0017","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type .","CEI","Always","NULL","all","ERROR"
"BR-BT-01375-0021","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","Always","NULL","all","ERROR"
"BR-BT-01375-0041","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type .","T02","Always","NULL","all","ERROR"
"BR-BT-01451-0001","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-01451-0002","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-01451-0004","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","Always","NULL","all","ERROR"
"BR-BT-01451-0005","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","Always","NULL","all","ERROR"
"BR-BT-01451-0006","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","Always","NULL","all","ERROR"
"BR-BT-01451-0007","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Prior information notice used only for information – general directive.","4","Always","NULL","all","ERROR"
"BR-BT-01451-0008","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","Always","NULL","all","ERROR"
"BR-BT-01451-0009","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Prior information notice used only for information – defence directive.","6","Always","NULL","all","ERROR"
"BR-BT-01451-0011","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type .","T01","Always","NULL","all","ERROR"
"BR-BT-01451-0012","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","Always","NULL","all","ERROR"
"BR-BT-01451-0013","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","Always","NULL","all","ERROR"
"BR-BT-01451-0014","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – defence directive.","9","Always","NULL","all","ERROR"
"BR-BT-01451-0015","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Prior information notice used as a call for competition - general directive, standard regime.","10","Always","NULL","all","ERROR"
"BR-BT-01451-0016","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, standard regime.","11","Always","NULL","all","ERROR"
"BR-BT-01451-0017","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type .","CEI","Always","NULL","all","ERROR"
"BR-BT-01451-0018","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Prior information notice used as a call for competition - general directive, light regime.","12","Always","NULL","all","ERROR"
"BR-BT-01451-0019","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Periodic indicative notice used as a call for competition - sectoral directive, light regime.","13","Always","NULL","all","ERROR"
"BR-BT-01451-0020","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Prior information notice used as a call for competition - concessions directive, light regime.","14","Always","NULL","all","ERROR"
"BR-BT-01451-0021","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Notice on the existence of a qualification system – sectoral directive.","15","Always","NULL","all","ERROR"
"BR-BT-01451-0022","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Contract notice – general directive, standard regime.","16","Always","NULL","all","ERROR"
"BR-BT-01451-0023","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Contract notice – sectoral directive, standard regime.","17","Always","NULL","all","ERROR"
"BR-BT-01451-0024","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Contract notice – defence directive, standard regime .","18","Always","NULL","all","ERROR"
"BR-BT-01451-0025","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Concession notice – concessions directive, standard regime.","19","Always","NULL","all","ERROR"
"BR-BT-01451-0027","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Contract notice – general directive, light regime.","20","Always","NULL","all","ERROR"
"BR-BT-01451-0028","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Contract notice – sectoral directive, light regime.","21","Always","NULL","all","ERROR"
"BR-BT-01451-0029","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Subcontract notice – defence directive.","22","Always","NULL","all","ERROR"
"BR-BT-01451-0030","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Design contest notice – general directive, design.","23","Always","NULL","all","ERROR"
"BR-BT-01451-0031","forbidden","BT-1451-Contract","The BT-1451 Winner Decision Date is not allowed at Contract level for a notice of type Design contest notice – sectoral directive, design.","24","Always","NULL","all","ERROR"
"BR-BT-01451-0041","forbidden","BT-1451-Contract","The BT-721 Contract Title is not allowed at Contract level for a notice of type .","T02","Always","NULL","all","ERROR"
"BR-BT-01501-0001","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-01501-0002","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-01501-0004","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","Always","NULL","all","ERROR"
"BR-BT-01501-0005","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","Always","NULL","all","ERROR"
"BR-BT-01501-0006","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","Always","NULL","all","ERROR"
"BR-BT-01501-0007","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Prior information notice used only for information – general directive.","4","Always","NULL","all","ERROR"
"BR-BT-01501-0008","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","Always","NULL","all","ERROR"
"BR-BT-01501-0009","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Prior information notice used only for information – defence directive.","6","Always","NULL","all","ERROR"
"BR-BT-01501-0011","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type .","T01","Always","NULL","all","ERROR"
"BR-BT-01501-0012","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Prior information notice used to shorten time limits for receipt of tenders – general directive.","7","Always","NULL","all","ERROR"
"BR-BT-01501-0013","forbidden","BT-1501(n)-Contract","The BT-1501 Modification Previous Section Identifier is not allowed at Contract level for a notice of type Periodic indicative notice used to shorten time limits for receipt of tenders – sectoral directive.","8","Always","NULL","all","ERROR"
